Position - Rx,Position - Tx,Velocity - Rx,Velocity - Tx,Time Initial,Time Final,Time Communication,Distance,Relative Speed,Direction Rx,Direction Tx,Pseudo-angle,Link Lifetime,Time Prediction,A,B,C,Route
11059.3,10937.6,12.0,16.0,9.20824,20.2384,11.0,130.0,28.7751,-96,89,2.0,12.9703,-1.9401400000000013,828.0060000000003,-7207.14,-45815.5,1.0
11059.2,11249.0,12.0,13.0,9.21425,25.2609,16.0,190.0,0.405324,-96,-96,6.0,100.0,-83.95335,0.16428800000000002,-151.898,-26425.7,1.0
11060.8,10966.3,12.0,10.0,9.08039,25.451,16.0,90.0,3.27253,-96,-105,2.0,98.6655,-82.29489000000002,10.7095,-514.499,-53492.0,1.0
11073.0,10971.4,8.0,8.0,7.910989999999999,25.4293,18.0,100.0,0.951021,-96,-101,2.0,100.0,-82.48169,0.904441,121.024,-52189.5,3.0
11080.8,11196.9,6.0,5.0,6.88213,12.1628,5.0,120.0,11.0541,-92,83,6.0,12.1095,-6.82883,122.194,2522.5,-48464.7,2.0
8273.79,8457.43,7.0,13.0,7.687810000000002,24.2607,17.0,250.0,19.1275,106,-82,7.0,25.2826,-8.709709999999998,365.862,-9341.82,2323.11,1.0
8285.63,8283.11,11.0,11.0,9.31255,18.3201,9.0,70.0,22.5189,106,-76,8.0,12.2612,-3.2536500000000004,507.099,-1482.2,-58062.1,1.0
10958.4,11030.8,13.0,16.0,9.12251,25.2327,16.0,70.0,2.64617,-101,-99,6.0,100.0,-83.88981,7.0022100000000025,-377.86800000000005,-57264.2,1.0
10973.0,11113.0,8.0,9.0,7.72043,12.0901,4.0,140.0,17.8043,-101,83,6.0,6.09049,-1.720820000000001,316.994,4982.66,-42105.5,2.0
10956.0,10802.0,13.0,12.0,9.30336,25.3449,16.0,150.0,4.24798,-101,-82,2.0,58.2657,-42.22416000000001,18.0453,-386.085,-38766.5,1.0
10961.6,10719.3,11.0,10.0,8.852689999999997,25.4683,17.0,240.0,0.870885,-101,-97,2.0,100.0,-83.38439,0.758441,-205.528,-3783.64,1.0
10971.1,10975.4,8.0,6.0,7.9532,25.4516,17.0,10.0,2.80908,-101,-110,7.0,86.9857,-69.48729999999999,7.8909,31.6181,-62456.9,2.0
10972.0,11073.5,8.0,8.0,7.845439999999999,25.3338,17.0,100.0,0.951021,-101,-96,6.0,100.0,-82.51164,0.904441,120.905,-52197.4,3.0
10972.2,10885.9,8.0,7.0,7.81745,25.0513,17.0,90.0,1.12245,-101,-99,2.0,100.0,-82.76615,1.25989,-189.307,-55032.5,1.0
8040.94,8193.06,8.0,10.0,7.85392,24.3213,16.0,180.0,2.81259,-72,-77,6.0,100.0,-83.53262,7.91067,-973.358,-29729.9,1.0
7496.93,7530.85,4.0,6.0,5.90056,25.2222,19.0,30.0,5.975,179,-105,5.0,44.7913,-25.46966,35.7007,-230.984,-61278.6,1.0
7493.51,7584.11,7.0,11.0,7.58743,23.3594,16.0,100.0,11.4448,179,102,5.0,13.6268,2.1451700000000002,130.984,2130.5,-53354.5,2.0
8384.26,8457.61,7.0,13.0,7.67232,24.2619,17.0,90.0,5.50401,-79,-82,6.0,60.8354,-44.24582,30.2941,-941.506,-54840.1,1.0
